NAME,issue,suggested,wikidataid,en,de,es,fr,pt,ru,zh,ar,bn,el,hi,hu,id,it,ja,ko,nl,pl,sv,tr,vi
Bandar Lampung,336,Bandar Lampung,Q8156,Bandar Lampung,Bandar Lampung,Bandar Lampung,Bandar Lampung,Bandar Lampung,Бандар-Лампунг,班達楠榜,باندار لامبونج,বান্দারলাম্পুং,Μπαντάρ Λαμπούνγκ,बंदरलामपुंग,Bandar Lampung,Bandar Lampung,Bandar Lampung,バンダールランプン,반다르람풍,Bandar Lampung,Bandar Lampung,Bandar Lampung,Bandar Lampung,Bandar Lampung
Jessore,329,Jashore,Q1688300,Jessore,Jessore,,Jessore,Jessore,Джессор,杰索尔市,جيسور,যশোর,Τζεσόρ,,,,Jessore,ジョソール,,Jessore (stad),Dźoszohor,Jessore,,
Barisal,329,Barishal,Q747840,Barisal,Barishal,Barisal,Barisal,Barisal,Барисал,巴里薩爾市,باريسال,বরিশাল,Μπάρισαλ,बारीसाल,,Barisal,Barisal,バリサル,바리살,Barisal,Barisal,Barisal,Barisal,Barisal
AmundseniScott South Pole Station,374,Amundsen-Scott South Pole Station,Q243307,Amundsen–Scott South Pole Station,Amundsen-Scott-Südpolstation,Base Amundsen-Scott,Base antarctique Amundsen-Scott,Estação Polo Sul Amundsen-Scott,Амундсен — Скотт,阿蒙森-史考特南極站,محطة أمندسن سكوت,,,,Amundsen–Scott déli-sarki kutatóállomás,Stasiun Kutub Selatan Amundsen-Scott,base Amundsen-Scott,アムンゼン・スコット基地,아문센-스콧 기지,Zuidpoolstation Amundsen-Scott,Amundsen-Scott,Amundsen–Scott-basen,Amundsen-Scott Güney Kutbu İstasyonu,Trạm Nam Cực Amundsen-Scott
Kailua-Kona,335,Kailua-Kona,Q627970,Kailua,Kailua-Kona,Kailua,Kailua-Kona,Kailua,Каилуа-Кона,凱盧阿,كايلوا-كونا,কালাোয়া,Καϊλούα-Κόνα,कैलुआ-कोना,Kailua,Kailua,Kailua,カイルア・コナ,카일루아코나,Kailua (Hawaii county),Kailua,Kailua-Kona,Kailua,"Kailua, Hawaii"
Savetskaya Gavan,428,Sovetskaya Gavan,Q196374,Sovetskaya Gavan,Sowetskaja Gawan,,Sovetskaïa Gavan,,Советская Гавань,苏维埃港,سوفتسكايا غافان,,Σοβέτσκαγια Γκαβάν,,Szovjetszkaja Gavany,,Sovetskaja Gavan',ソヴィエツカヤ・ガヴァニ,소베츠카야가반,Sovjetskaja Gavan,Sowiecka Gawań,,Sovetskaya Gavan,
Akureyi,366,Akureyri,Q29042,Akureyri,Akureyri,Akureyri,Akureyri,Akureyri,Акюрейри,阿克雷里,أكوريري,,Άκουρεϋρι,,Akureyri,Akureyri,Akureyri,アークレイリ,아쿠레이리,Akureyri,Akureyri,Akureyri,Akureyri,Akureyri
Xiangfan,430,Xiangyang,Q71284,Xiangyang,Xiangyang,Xiangyang,Xiangfan,Xiangyang,Сянъян,襄阳市,شيانغيانغ,শিয়াং-ইয়াং,Ξιάνγκγιανγκ,सिणग्यांग,,Xiangfan,Xiangyang,襄陽市,샹양시,Xiangyang,Xiangyang,Xiangyang,Xiangyang,Tương Dương
Lupanshui,369,Liupanshui,Q485918,Liupanshui,Liupanshui,Liupanshui,Liupanshui,Liupanshui,Люпаньшуй,六盘水市,ليوبانشيو,লিউফানশুয়েই,Λιοουπανσουέι,लिउपांशुई,,Liupanshui,Liupanshui,六盤水市,류판수이시,Liupanshui,Liupanshui,Liupanshui,Liupanshui,Lục Bàn Thủy
Shijianzhuang,430,Shijiazhuang,Q58401,Shijiazhuang,Shijiazhuang,Shijiazhuang,Shijiazhuang,Shijiazhuang,Шицзячжуан,石家庄市,شيجياتشوانغ,শিচিয়াচুয়াং,Σιτζιατσουάγκ,शिजियाझुआंग,Sicsiacsuang,Shijiazhuang,Shijiazhuang,石家荘市,스자좡시,Shijiazhuang,Shijiazhuang,Shijiazhuang,Shijiazhuang,Thạch Gia Trang
Sevastapol,380,Sevastopol,Q7525,Sevastopol,Sewastopol,Sebastopol,Sébastopol,Sebastopol,Севастополь,塞瓦斯托波爾,سيفاستوبول,সেভাস্তোপোল,Σεβαστούπολη,सेवस्तोपोल,Szevasztopol,Sevastopol,Sebastopoli,セヴァストポリ,세바스토폴,Sebastopol,Sewastopol,Sevastopol,Sivastopol,Sevastopol
Ujungpandang,398,Makassar,Q14634,Makassar,Makassar,Macasar,Makassar,Macáçar,Макасар,望加錫,ماكاسار,মাকাসার,Μακασάρ,मकासर,Makassar,Makassar,Makassar,マカッサル,마카사르,Makassar,Makasar,Makassar,Makassar,Makassar
Astana,413,Nur-Sultan,Q1520,Nur-Sultan,Nur-Sultan,Nur-Sultán,Noursoultan,Nur-Sultan,Нур-Султан,努尔-苏丹,نور سلطان,নুর-সুলতান,Νουρσουλτάν,नूर्सुल्तान,Nur-Szultan,Nur-Sultan,Nur-Sultan,ヌル-スルタン,누르술탄,Nur-Sultan,Nur-Sułtan,Nur-Sultan,Nursultan,Nur-Sultan
Puebla,399,Puebla,Q125293,Puebla City,Puebla,Puebla de Zaragoza,Puebla,Puebla,Пуэбла-де-Сарагоса,普埃布拉,مدينة بويبلا,পুয়েবলা শহর,Πουέμπλα,पूएब्ला,Puebla,Puebla,Puebla de Zaragoza,プエブラ,푸에블라,Puebla,Puebla,Puebla,Puebla,Puebla
Chittagong,329,Chattogram,Q376749,Chittagong,Chittagong,Chittagong,Chittagong,Chittagong,Читтагонг,吉大港市,شيتاغونغ,চট্টগ্রাম,Τσιταγκόνγκ,चटगाँव,Csittagong,Chittagong,Chittagong,チッタゴン,치타공,Chittagong,Ćottogram,Chittagong,Chittagong,Chittagong
Rangoon,381,Yangon,Q37995,Yangon,Rangun,Rangún,Rangoun,Yangon,Янгон,仰光,يانغون,ইয়াঙ্গুন,Γιανγκόν,यांगून,Rangun,Yangon,Yangon,ヤンゴン,양곤,Rangoon,Rangun,Rangoon,Yangon,Yangon
